author_id,journal_id,t,work_id,topic_match_t
https://openalex.org/A5048223855,https://openalex.org/S190629608,2017-07-05,https://openalex.org/W2725188468,0.9124
https://openalex.org/A5048223855,https://openalex.org/S4210192031,2024-06-08,https://openalex.org/W4399492875,0.9198
https://openalex.org/A5048223855,https://openalex.org/S190629608,2017-08-28,https://openalex.org/W2751766815,0.943
https://openalex.org/A5048223855,https://openalex.org/S190629608,2021-04-12,https://openalex.org/W3156142979,0.9313
https://openalex.org/A5048223855,https://openalex.org/S207319443,2018-01-01,https://openalex.org/W2802174584,0.88
https://openalex.org/A5048223855,https://openalex.org/S190629608,2019-01-09,https://openalex.org/W2908959496,0.9472
https://openalex.org/A5048223855,https://openalex.org/S190629608,2017-07-26,https://openalex.org/W2739200628,0.9322
https://openalex.org/A5048223855,https://openalex.org/S4210192031,2022-09-28,https://openalex.org/W4297477317,0.9171
https://openalex.org/A5048223855,https://openalex.org/S4210173132,2021-03-09,https://openalex.org/W3133932862,0.9779
https://openalex.org/A5048223855,https://openalex.org/S4210173132,2023-07-28,https://openalex.org/W4385343441,0.9619
https://openalex.org/A5048223855,https://openalex.org/S4210192031,2021-10-01,https://openalex.org/W3205528911,0.9263
https://openalex.org/A5048223855,https://openalex.org/S4210205812,2020-09-04,https://openalex.org/W3083456615,0.8595
https://openalex.org/A5048223855,https://openalex.org/S4210173132,2021-08-19,https://openalex.org/W3194046117,0.9821
https://openalex.org/A5048223855,https://openalex.org/S4210173132,2023-09-24,https://openalex.org/W4387024385,0.9648
https://openalex.org/A5048223855,https://openalex.org/S4210173132,2023-12-31,https://openalex.org/W4390467714,0.9682
https://openalex.org/A5048223855,https://openalex.org/S4210173132,2024-05-30,https://openalex.org/W4399179674,0.9677
https://openalex.org/A5048223855,https://openalex.org/S101949793,2016-09-09,https://openalex.org/W2508549852,0.7868
https://openalex.org/A5048223855,https://openalex.org/S190629608,2016-06-09,https://openalex.org/W2411453843,
https://openalex.org/A5048223855,https://openalex.org/S190629608,2018-12-27,https://openalex.org/W2905816463,0.9438
